Index,year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Year,Station
1,,-,61,84,182,1314,1467,1134,690,272,155,100,63,year,1-105 Zambezi At Chavuma Mission (130400)
2,,-,61,90,190,1336,1486,1122,671,269,152,99,61,year,1-105 Zambezi At Chavuma Mission (130400)
3,,-,62,96,192,1353,1482,1115,649,266,150,98,60,year,1-105 Zambezi At Chavuma Mission (130400)
4,,-,63,102,199,1374,1464,1103,624,265,148,96,59,year,1-105 Zambezi At Chavuma Mission (130400)
5,,-,63,100,207,1435,1424,1094,611,260,146,96,59,year,1-105 Zambezi At Chavuma Mission (130400)
6,,-,57,105,228,1581,1398,1112,586,255,143,94,57,year,1-105 Zambezi At Chavuma Mission (130400)
7,,-,53,107,254,1740,1378,1157,571,246,141,91,57,year,1-105 Zambezi At Chavuma Mission (130400)
8,,-,55,107,301,1867,1361,1219,557,244,138,91,55,year,1-105 Zambezi At Chavuma Mission (130400)
9,,-,53,110,344,1983,1330,1274,538,236,137,91,55,year,1-105 Zambezi At Chavuma Mission (130400)
10,,-,53,115,365,2065,1256,1302,521,230,134,89,55,year,1-105 Zambezi At Chavuma Mission (130400)
11,,-,51,119,377,2100,1196,1298,505,227,132,89,53,year,1-105 Zambezi At Chavuma Mission (130400)
12,,-,50,124,381,2141,1165,1278,487,223,129,88,52,year,1-105 Zambezi At Chavuma Mission (130400)
13,,-,50,126,380,2138,1149,1243,474,219,126,86,51,year,1-105 Zambezi At Chavuma Mission (130400)
14,,-,49,131,391,2127,1138,1203,458,214,124,86,49,year,1-105 Zambezi At Chavuma Mission (130400)
15,,-,49,134,405,2114,1126,1168,443,210,123,84,49,year,1-105 Zambezi At Chavuma Mission (130400)
16,,-,50,140,440,2123,1125,1126,428,206,121,81,49,year,1-105 Zambezi At Chavuma Mission (130400)
17,,-,53,145,487,2142,1166,1081,415,201,121,81,49,year,1-105 Zambezi At Chavuma Mission (130400)
18,,-,52,155,540,2163,1171,1037,405,197,119,81,48,year,1-105 Zambezi At Chavuma Mission (130400)
19,,-,52,156,585,2173,1201,1010,391,192,118,81,47,year,1-105 Zambezi At Chavuma Mission (130400)
20,,-,52,163,626,2173,1189,971,381,190,115,79,47,year,1-105 Zambezi At Chavuma Mission (130400)
21,,-,55,170,661,2152,1200,933,368,187,115,79,47,year,1-105 Zambezi At Chavuma Mission (130400)
