;;;;;;;;;;;;;
;;Lake Kariba;;;;;;;;;;;
;;Levels;;;;;;;;;;;
;1990/91;;;;;;;;;;;;
;;;;;;;;;;;;;
;Day;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep
;1;480,86;480,43;479,97;479,72;479,69;479,91;480,60;481,10;481,40;481,32;480,91;480,50
;2;480,86;480,42;479,96;479,72;479,69;479,90;480,61;481,10;481,40;481,31;480,90;480,48
;3;480,85;480,39;479,96;479,72;479,69;479,89;480,65;481,12;481,40;481,31;480,88;480,48
;4;480,83;480,38;479,95;479,72;479,70;479,89;480,68;481,15;481,41;481,30;480,89;480,46
;5;480,82;480,38;479,94;479,72;479,71;479,89;480,70;481,16;481,41;481,29;480,87;480,45
;6;480,80;480,37;479,91;479,73;479,73;479,89;480,72;481,16;481,41;481,28;480,85;480,43
;7;480,79;480,36;479,89;479,73;479,73;479,90;480,75;481,17;481,42;481,28;480,83;480,42
;8;480,78;480,30;479,88;479,73;479,73;479,90;480,77;481,18;481,41;481,26;480,82;480,41
;9;480,77;480,27;479,88;479,71;479,75;479,90;480,79;481,20;481,41;481,24;480,80;480,40
;10;480,75;480,25;479,87;479,72;479,77;479,91;480,80;481,22;481,42;481,22;480,80;480,38
;11;480,73;480,24;479,86;479,72;479,80;479,92;480,82;481,22;481,42;481,21;480,80;480,37
;12;480,72;480,24;479,83;479,74;479,83;479,94;480,82;481,25;481,41;481,20;480,79;480,35
;13;480,71;480,23;479,81;479,74;479,83;480,03;480,84;481,28;481,41;481,18;480,75;480,32
;14;480,71;480,20;479,80;479,74;479,83;480,03;480,84;481,28;481,41;481,16;480,73;480,31
;15;480,66;480,20;479,78;479,71;479,83;480,03;480,89;481,27;481,41;481,15;480,71;480,30
;16;480,66;480,18;479,78;479,75;479,85;480,03;480,89;481,27;481,38;481,13;480,70;480,30
;17;480,65;480,16;479,78;479,76;479,86;480,07;480,90;481,28;481,37;481,10;480,70;480,29
;18;480,63;480,15;479,75;479,73;479,86;480,10;480,91;481,28;481,35;481,09;480,68;480,28
;19;480,63;480,14;479,74;479,71;479,86;480,18;480,92;481,29;481,36;481,08;480,67;480,28
;20;480,62;480,13;479,73;479,69;479,86;480,21;480,92;481,30;481,36;481,07;480,66;480,27
;21;480,60;480,12;479,74;479,69;479,86;480,25;480,96;481,31;481,36;481,06;480,66;480,24
;22;480,58;480,10;479,72;479,69;479,86;480,26;480,99;481,32;481,36;481,04;480,65;480,23
;23;480,56;480,08;479,73;479,68;479,86;480,29;480,99;481,36;481,36;481,04;480,63;480,21
;24;480,55;480,06;479,72;479,68;479,86;480,34;481,00;481,37;481,36;481,03;480,61;480,20
;25;480,55;480,03;479,71;479,68;479,86;480,36;481,01;481,39;481,36;481,03;480,60;480,19
;26;480,53;480,06;479,69;479,68;479,87;480,40;481,03;481,40;481,35;481,01;480,57;480,16
;27;480,50;480,07;479,69;479,68;479,91;480,49;481,04;481,40;481,35;480,99;480,56;480,13
;28;480,49;480,08;479,73;479,68;479,91;480,50;481,06;481,41;481,33;480,99;480,56;480,12
;29;480,48;479,98;479,73;479,67;;480,53;481,08;481,39;481,32;480,98;480,54;480,11
;30;480,46;479,97;479,71;479,73;;480,55;481,10;481,37;481,32;480,94;480,53;480,10
;31;480,44;;479,70;479,70;;480,60;;481,40;;480,92;480,51;
;;;;;;;;;;;;;
;Mean;480,66;480,20;479,80;479,71;479,81;480,13;480,87;481,27;481,38;481,14;480,71;480,31
;Max;480,86;480,43;479,97;479,76;479,91;480,60;481,10;481,41;481,42;481,32;480,91;480,50
;Min;480,44;479,97;479,69;479,67;479,69;479,89;480,60;481,10;481,32;480,92;480,51;480,10
;;;;;;;;;;;;;
;Annual Mean =;;480,50;;Annual Min =;;479,67;;;Annual Max =;;481,42;
;;;;;;;;;;;;;
;1991/92;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Day;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep
;1;480,08;479,61;479,20;479,17;478,93;478,68;478,70;478,63;478,46;478,14;477,63;477,10
;2;480,06;479,60;479,18;479,16;478,91;478,66;478,71;478,61;478,46;478,13;477,60;477,10
;3;480,05;479,59;479,17;479,14;478,88;478,64;478,69;478,61;478,45;478,12;477,58;477,09
;4;480,04;479,57;479,15;479,14;478,89;478,64;478,69;478,61;478,45;478,10;477,57;477,08
;5;480,02;479,55;479,14;479,14;478,89;478,62;478,67;478,61;478,44;478,06;477,57;477,05
;6;480,00;479,53;479,12;479,15;478,88;478,59;478,65;478,60;478,44;478,05;477,55;477,04
;7;479,98;479,50;479,05;479,14;478,87;478,57;478,65;478,58;478,44;478,03;477,53;477,04
;8;479,96;479,49;479,05;479,12;478,86;478,56;478,65;478,57;478,41;478,03;477,51;477,03
;9;479,94;479,48;479,04;479,09;478,84;478,57;478,66;478,57;478,40;478,01;477,50;477,01
;10;479,92;479,46;479,03;479,08;478,83;478,56;478,66;478,57;478,39;478,00;477,49;477,00
;11;479,90;479,44;479,01;479,09;478,83;478,52;478,67;478,57;478,38;477,98;477,48;477,00
;12;479,89;479,42;479,00;479,08;478,81;478,52;478,68;478,56;478,37;478,00;477,47;476,99
;13;479,88;479,40;478,97;479,06;478,80;478,52;478,66;478,56;478,38;477,95;477,44;476,98
;14;479,86;479,40;478,97;479,06;478,80;478,52;478,66;478,57;478,36;477,93;477,42;476,96
;15;479,84;479,38;478,96;479,04;478,81;478,53;478,64;478,56;478,35;477,91;477,40;476,93
;16;479,83;479,37;478,96;479,03;478,78;478,56;478,66;478,56;478,33;477,89;477,39;476,90
;17;479,80;479,36;478,96;479,03;478,78;478,57;478,66;478,55;478,31;477,84;477,37;476,88
;18;479,79;479,33;478,95;479,03;478,75;478,55;478,65;478,55;478,29;477,84;477,36;476,87
;19;479,78;479,32;478,95;478,99;478,74;478,54;478,64;478,56;478,28;477,82;477,32;476,86
;20;479,77;479,34;478,90;478,96;478,72;478,54;478,64;478,54;478,26;477,84;477,31;476,85
;21;479,75;479,33;478,86;478,97;478,70;478,52;478,65;478,53;478,25;477,79;477,30;476,85
;22;479,72;479,32;478,93;478,97;478,68;478,51;478,63;478,53;478,25;477,78;477,29;476,84
;23;479,70;479,33;478,93;478,96;478,68;478,56;478,62;478,53;478,24;477,77;477,28;476,83
;24;479,69;479,28;478,95;478,95;478,68;478,56;478,62;478,51;478,23;477,75;477,27;476,82
