Date,Flow_chavuma,Level_kariba,Flow_nana,Flow_ngonye
2017-01-01,182.0,477.64,442.0,486.0
2017-01-02,190.0,477.63,446.0,472.0
2017-01-03,201.0,477.65,456.0,475.0
2017-01-04,219.0,477.63,474.0,475.0
2017-01-05,238.0,477.62,481.0,483.0
2017-01-06,266.0,477.61,481.0,492.0
2017-01-07,299.0,477.62,483.0,507.0
2017-01-08,325.0,477.63,479.0,510.0
2017-01-09,338.0,477.66,481.0,528.0
2017-01-10,347.0,477.67,495.0,529.0
2017-01-11,352.0,477.7,492.0,549.0
2017-01-12,352.0,477.71,499.0,556.0
2017-01-13,360.0,477.73,514.0,553.0
2017-01-14,354.0,477.8,521.0,548.0
2017-01-15,351.0,477.91,542.0,562.0
2017-01-16,351.0,477.94,552.0,570.0
2017-01-17,347.0,478.01,593.0,584.0
2017-01-18,345.0,478.1,602.0,629.0
2017-01-19,346.0,478.21,608.0,665.0
2017-01-20,349.0,478.27,623.0,680.0
2017-01-21,368.0,478.36,651.0,709.0
2017-01-22,374.0,478.41,690.0,730.0
2017-01-23,398.0,478.44,832.0,746.0
2017-01-24,422.0,478.46,909.0,750.0
2017-01-25,448.0,478.49,962.0,764.0
2017-01-26,468.0,478.53,976.0,788.0
2017-01-27,474.0,478.56,986.0,804.0
2017-01-28,474.0,478.6,1006.0,817.0
2017-01-29,471.0,478.65,1017.0,833.0
2017-01-30,468.0,478.72,1019.0,836.0
2017-01-31,467.0,478.76,1022.0,849.0
2017-02-01,461.0,478.8,1020.0,890.0
2017-02-02,444.0,478.85,1052.0,906.0
2017-02-03,444.0,478.89,1057.0,933.0
2017-02-04,444.0,478.94,1067.0,966.0
2017-02-05,442.0,479.0,1074.0,997.0
2017-02-06,448.0,479.03,1080.0,1029.0
2017-02-07,458.0,479.09,1092.0,1023.0
2017-02-08,490.0,479.13,1104.0,1029.0
2017-02-09,522.0,479.15,1123.0,1036.0
2017-02-10,539.0,479.2,1133.0,1047.0
2017-02-11,565.0,479.28,1143.0,1050.0
2017-02-12,588.0,479.29,1150.0,1047.0
2017-02-13,631.0,479.3,1145.0,1059.0
2017-02-14,660.0,479.31,1143.0,1054.0
2017-02-15,701.0,479.33,1142.0,1052.0
